Crop,Temperature,Humidity,Rainfall,SoilMoisture,Pest,RiskPercentage
Grapes,26.834851291785693,81.00662989007684,69.34529574528317,19.406057986188067,Downy Mildew,38.55
Cotton,25.30028342039079,79.1828055925436,19.43365924124621,58.71974038330833,Pink Bollworm,94.66
Grapes,30.47242571029618,76.80481831720601,77.38190407158194,50.68975098534743,Downy Mildew,47.39
Soybean,22.43925409017337,95.54635922469213,205.63431073079224,57.4899956645962,Aphids,49.03
Soybean,29.201227939036848,70.91215181453094,233.18212083850332,53.30319447502042,Aphids,21.81
Grapes,20.39550461745878,68.82316834390248,202.63833269545822,59.363806465747224,Downy Mildew,26.02
Cotton,28.911960730282026,69.04454283155107,242.4785994536508,52.105946156785436,Pink Bollworm,53.53
Potato,27.030397396924556,70.74097511688326,68.35176798267656,12.818774832546357,Late Blight,54.59
Potato,32.19351513695116,99.98588366430653,249.15920926847633,37.771585280131376,Late Blight,50.76
Rice,34.17148594823642,92.48236953387058,61.83702543579941,32.52720676550467,Stem Borer,25.17
Potato,34.31076540888083,80.308731722544,57.16070137586568,43.58503422029283,Late Blight,44.73
Cotton,25.37244077049261,55.67787960998145,167.8932988981999,36.01538504518966,Pink Bollworm,50.89
Potato,27.8024525166799,92.609075015927,137.9767096936214,38.04689857676931,Late Blight,55.07
Cotton,26.052242993185956,56.70076142253204,7.195669078334744,47.75686278368095,Pink Bollworm,44.81
Grapes,30.561196521488355,60.64820807544554,34.092868896692444,10.727233283394096,Downy Mildew,34.02
Potato,28.848765302819494,69.61220225498661,109.36873050593226,55.20793472468742,Late Blight,33.93
Rice,27.709842337397163,89.18265063705715,99.13569558031755,41.10433501139367,Stem Borer,91.56
Rice,34.24280935486463,57.3536740464519,231.6469062903736,34.60581465397691,Stem Borer,30.33
Rice,26.887036343573918,99.00162876427385,123.1545234982174,26.437580514375412,Stem Borer,45.34
Cotton,23.602184281672898,53.7931664054332,32.21993047766231,16.40229194788862,Pink Bollworm,26.08
Grapes,22.082407589741152,82.04373724016074,45.47002109978621,27.28336416619316,Downy Mildew,55.87
Soybean,27.109424603943086,83.37788692605136,43.07996780040746,19.61445094043354,Aphids,71.02
Potato,22.53402594608247,63.92951695159793,44.2526210691867,14.43512668785278,Late Blight,24.83
Potato,26.911681520490887,60.31668592028963,91.06746526201887,35.17086354274284,Late Blight,47.62
Rice,20.589682097616485,89.97051994545214,156.97509737272694,14.087951597443595,Stem Borer,54.94
Rice,33.8130860079772,53.05389799274319,69.21941203680093,50.31006398965307,Stem Borer,49.93
Potato,22.76781529034566,60.467466166835514,92.6180256978455,34.226149259551065,Late Blight,44.73
Potato,25.533704593546588,73.1267358066574,186.86773453343915,11.834160144529895,Late Blight,30.1
Cotton,30.70024378826829,94.76034188435997,127.91936052891653,36.60567426326578,Pink Bollworm,24.29
Potato,26.711185502351817,76.63086332275115,60.61762590868241,23.462161547469048,Late Blight,35.09
Cotton,20.301067966665897,66.10395827915892,52.86200174913616,26.374867608895734,Pink Bollworm,24.79
Soybean,33.35790921109842,79.67962267770244,169.7755797861224,49.45856193036691,Aphids,39.94
Soybean,21.303804321311354,76.85532709092739,146.71027950521977,47.271973709216496,Aphids,37.27
Grapes,21.913704541933456,64.18879528993622,90.77057409965877,42.295862066580064,Downy Mildew,42.83
Soybean,25.341450888467694,99.32576243964898,151.4437048392218,21.861339586799723,Aphids,24.07
Grapes,22.29288708776498,62.29788641922541,40.17034331488892,19.328351202565287,Downy Mildew,31.4
Grapes,22.60060392942132,94.83827123132126,20.05843641541055,36.22556947851273,Downy Mildew,80.26
Rice,34.735679253629094,55.60194510840262,99.46389976143541,58.473521663768445,Stem Borer,54.62
Rice,32.2560810642392,62.895141352246995,42.721896847516454,43.43216099622155,Stem Borer,57.18
Cotton,28.351443395208946,78.580634473495,69.99477341507104,48.47464665959684,Pink Bollworm,27.48
Grapes,24.855188546063655,71.27182193082083,126.90259467111376,22.12048662075401,Downy Mildew,24.59
Rice,29.159300636624486,64.43152766201278,145.30955535565306,17.718135763710116,Stem Borer,39.25
Potato,27.98884148827379,52.591176841121346,84.15106954848015,16.72073384694871,Late Blight,22.53
Potato,34.84940348584918,66.11769224873615,202.4686114636587,22.73203273818819,Late Blight,47.26
Soybean,31.403417898345296,79.78193703039221,117.89404713753959,30.592045707363425,Aphids,33.95
Cotton,33.94293716371739,91.53097038938645,241.25672766662814,16.214861174277235,Pink Bollworm,49.23
Potato,34.07510685231557,59.061653308283006,16.624066841694372,47.056032464502955,Late Blight,42.98
Rice,32.62743165137408,56.988618831314476,198.81682796497256,20.081366002387227,Stem Borer,26.55
Cotton,22.463986968964896,90.72873601156911,166.29930517405003,36.153271238455964,Pink Bollworm,34.35
Rice,33.158008112196626,69.62225537113177,204.14985986789426,31.95674542851092,Stem Borer,35.08
Grapes,26.940196785044098,65.0688937082071,186.90234504406277,35.13601950462396,Downy Mildew,29.29
Potato,33.49361859911853,69.19456106866056,135.88821527849714,55.32360554822735,Late Blight,44.97
Rice,21.75347061062546,96.99160618067376,156.92701326785448,26.745280732854305,Stem Borer,25.57
Cotton,31.91037783905444,81.00363779642568,133.36527299408039,54.69462915254788,Pink Bollworm,51.54
Soybean,22.275123195991267,65.5861033897774,62.122284953616436,47.19731462863385,Aphids,21.34
Cotton,28.54834527306975,88.12293428703452,219.19140919043735,27.104087435795375,Pink Bollworm,52.85
Potato,21.65947605432811,92.3226145867259,31.872165582995603,29.864364528018363,Late Blight,89.93
Potato,22.24876141023161,61.462569761632075,180.56314209826658,46.00182682730372,Late Blight,45.65
Soybean,30.4092266670065,77.13622216737981,62.94976472673819,27.284799675195973,Aphids,27.26
Rice,33.62675842000442,79.16958973830603,100.21285419090998,33.100290182206635,Stem Borer,93.68
Rice,22.3002710467412,79.31149160083986,126.4721697211165,40.572711771732386,Stem Borer,20.72
Cotton,33.08185863416227,96.60591412418063,141.28329589730222,44.83254119384461,Pink Bollworm,56.9
Cotton,30.608579514700978,57.62695214571307,144.0720900417033,40.3357523191428,Pink Bollworm,36.97
Grapes,31.046663534370843,96.71835073845074,231.39212822669407,32.541968570206606,Downy Mildew,24.53
Rice,34.772617984435016,91.94490432229671,31.16567030081671,56.04209413086862,Stem Borer,54.8
Cotton,27.78257085689108,79.56377178724647,99.75067596753256,12.738081941101566,Pink Bollworm,33.41
Grapes,32.042801728970176,50.23160115023014,83.37479292278604,29.908434679547167,Downy Mildew,41.5
Grapes,33.79783424619141,67.31729971829806,86.73830047405693,46.87506240548742,Downy Mildew,38.09
Rice,23.369072344099727,72.62197580663467,35.21425509494996,18.819349325311165,Stem Borer,39.93
Rice,26.28388174256822,95.742295053405,90.59847477915828,39.029417513902175,Stem Borer,45.29
Soybean,20.196416848825006,83.17686860083553,44.50899171743786,58.053515873472755,Aphids,25.95
Grapes,26.219361855905355,54.26748340393219,249.21856296148684,35.10975051656213,Downy Mildew,43.82
Grapes,21.006147160826412,87.49802351995889,52.47639827389644,54.90271447203569,Downy Mildew,75.13
Soybean,22.860315809954997,51.827483392404744,118.01673627749982,38.242056663130825,Aphids,22.63
Rice,31.63291425042516,72.66444173740138,131.09756733189502,32.03813734691141,Stem Borer,80.02
Grapes,28.394604969623266,57.76201229653562,45.48203262381778,53.089281050675865,Downy Mildew,57.84
Rice,25.599639744196296,63.53723365717769,160.99988580975395,30.43670855490482,Stem Borer,21.02
Grapes,22.342288960492855,85.79861144236988,164.73098547753784,11.354799625174174,Downy Mildew,28.88
Soybean,23.46612194882107,83.59463717993643,4.9276344385910384,15.205429099228692,Aphids,52.0
Soybean,22.678169930815002,82.63730539259373,59.54569526168163,14.972069637967259,Aphids,29.73
Rice,30.83400397783489,92.78482340531428,207.5549661417479,29.85917648092274,Stem Borer,46.72
Potato,23.074764431237313,64.65738651305067,224.08395463027995,10.650096175536802,Late Blight,23.42
Rice,23.11829382719041,51.32661019369099,45.35885877244933,39.15207804848461,Stem Borer,36.86
Cotton,33.39007566615462,90.87217808692205,85.45433792446899,22.971171671564626,Pink Bollworm,35.19
Potato,28.854424137722116,63.403182041143815,156.0372269622835,30.470582609562022,Late Blight,42.08
Cotton,26.541897937029752,64.72328797709588,237.11332674053918,48.18028970798804,Pink Bollworm,25.6
Soybean,33.027019638468694,74.37155991247567,223.63805672352285,49.992762797365764,Aphids,37.01
Potato,20.33703962480176,63.4338679692473,135.40855366521674,41.673910991307366,Late Blight,30.32
Rice,22.09034111109236,91.74651183996495,246.10054517588804,36.28450911513429,Stem Borer,26.87
Potato,24.084609897790536,50.919533827373336,228.57470164012474,15.887554144507057,Late Blight,43.06
Rice,24.11082831030809,77.70890012578967,162.85509708796604,51.48709018536008,Stem Borer,28.26
Cotton,20.164937429877206,56.844281503440364,225.00466046202627,53.694503878125765,Pink Bollworm,43.9
Cotton,29.0077529065048,83.25183372731277,43.8428196558624,55.72059729624799,Pink Bollworm,36.75
Rice,25.747077923742463,75.94588526414188,11.741491693763761,18.31416843780397,Stem Borer,49.52
Cotton,21.241980018876898,80.1576054733194,61.33727742033024,29.464780702098828,Pink Bollworm,31.55
Soybean,25.335090746974238,85.95229525921228,74.28042890579376,38.32023201484486,Aphids,39.04
Grapes,29.955067480439723,96.84148696623791,183.14302430256257,20.747018929537838,Downy Mildew,21.25
Soybean,23.933960664497377,79.75389653501274,12.856453371062587,34.81831236006182,Aphids,43.87
Rice,25.01365836225441,88.54561018729109,26.64956328344295,13.756889086790437,Stem Borer,49.13
Cotton,27.432369743092977,84.4201198213868,108.70683465093656,22.32010166195534,Pink Bollworm,52.76
Rice,31.991238184534687,84.73482354272133,68.03628430749067,39.51153334345435,Stem Borer,34.44
Potato,21.373731099899512,95.86567877311214,34.20465772974035,57.51186769104012,Late Blight,37.84
Soybean,22.776993932579295,77.0950473689179,218.23645896910207,46.61124432047806,Aphids,52.26
Cotton,29.88175050066076,84.61382822589263,212.29891289132982,22.483400442959297,Pink Bollworm,39.58
Cotton,23.318141627294033,99.38340039983234,236.01483492165332,11.971340568425294,Pink Bollworm,48.22
Grapes,33.87872476123499,59.02876725636668,141.98630763815737,55.774414879402094,Downy Mildew,21.36
Soybean,30.461304008702598,64.86745036862754,231.0990488441326,58.552912258268385,Aphids,57.77
Potato,27.113213249861957,93.10213254946567,211.1373496337676,25.95502366216278,Late Blight,53.16
Rice,20.55511452073239,79.81349392410266,57.50220932192576,16.02834428886394,Stem Borer,23.08
Cotton,30.444331638172095,66.9937481884033,181.19169288219035,13.267817039947118,Pink Bollworm,32.61
Grapes,28.092369385630057,89.53615824194819,79.68812573301747,41.294568821850454,Downy Mildew,55.44
Cotton,29.23794782273457,61.64797373768169,6.100195389134505,53.50494369504649,Pink Bollworm,20.85
Grapes,33.12052509026299,76.4468567013606,234.76692462822405,49.93916178868327,Downy Mildew,59.92
Soybean,25.260677231775652,88.35941444655634,100.48272840231054,33.99378101519544,Aphids,45.1
Grapes,33.10515671279508,99.20417345996475,192.06835346612954,30.888339108366687,Downy Mildew,36.85
Grapes,31.06373452383337,61.938857288415115,27.618528282848665,27.731107882038827,Downy Mildew,31.49
Potato,24.44462180683985,61.680387552495496,10.523297409090471,10.893696736670691,Late Blight,59.51
Rice,26.416597006037936,69.21633235798409,169.91182067326747,20.912694393253208,Stem Borer,58.0
Soybean,31.795175216233282,54.47055011561297,104.39519394623208,53.95591537810824,Aphids,57.79
Grapes,27.011022668748048,80.67056946053539,41.7584865230188,59.558431306848824,Downy Mildew,29.27
Cotton,34.14097661202688,82.48233244961843,151.93419871971477,35.634425550825426,Pink Bollworm,29.23
Rice,22.647920480082625,61.02431045350877,46.60956553606363,48.97922367833767,Stem Borer,34.01
Soybean,20.867640148450946,98.45513150704056,220.94647124085643,56.387614159760645,Aphids,59.8
Cotton,22.60842873829231,69.81210094513294,189.55961892602284,44.80103090268961,Pink Bollworm,26.16
Rice,32.23749687485927,61.22202859183304,55.95440370565577,36.84872114467068,Stem Borer,43.72
Grapes,28.701293117567168,54.574341869887746,219.3652156575951,23.280002129435303,Downy Mildew,25.18
Rice,33.331221198034655,97.78257491148767,215.53190431636264,50.475803736243904,Stem Borer,46.21
Rice,28.26286055913709,54.34933799557051,102.11330326767468,28.6344258506157,Stem Borer,30.39
Rice,30.851301705328773,74.79378675393855,20.261553976911983,21.009160097490565,Stem Borer,47.33
Potato,21.141962892354503,92.56034570243844,123.78663175349358,34.0293288663324,Late Blight,43.7
Potato,32.37021448887724,67.39046039510966,169.5040381397659,38.28659819978955,Late Blight,30.68
Grapes,33.17944979532737,89.8713010803464,164.61295866460637,52.52908645471209,Downy Mildew,54.69
Potato,30.62544465072552,91.85066641818361,174.3678654173209,44.00703858801502,Late Blight,44.74
Potato,31.290749593364616,57.93025526465368,220.2176897997321,53.5921763872616,Late Blight,21.17
Potato,32.38725125847144,56.44349337367226,83.77971356478547,47.17541281458039,Late Blight,26.43
Rice,32.26950536178593,91.6067088978871,126.86693344020905,10.31929358584168,Stem Borer,31.48
Soybean,29.253903775636132,99.05930890137117,157.95338175416708,22.99017905320799,Aphids,45.36
Potato,28.099780695737834,88.99226975755718,26.745159706739603,48.0513951251014,Late Blight,41.65
Potato,34.444880057884916,67.0936083019343,158.15547328348703,56.60140527550087,Late Blight,24.1
Rice,34.05842730854677,84.39428611504067,16.959264776292976,25.048178347340812,Stem Borer,48.33
Soybean,21.010259022031576,79.10852300881366,86.47076423823918,41.04577588837385,Aphids,21.83
Rice,33.07305209228564,98.67444845886985,242.21946382142286,47.48259158714624,Stem Borer,25.2
Soybean,31.373947938935338,51.229345822940076,5.5308878822493135,26.18051095747706,Aphids,39.55
Rice,31.556111267116897,84.16476883032526,111.47567659418708,23.681333314083293,Stem Borer,94.93
Soybean,26.392719533539594,72.56935121648377,40.905955297917295,49.740477437496466,Aphids,87.34
Soybean,23.311544191831405,54.11905228079213,170.12482551867828,42.72556071405676,Aphids,30.93
Soybean,34.26295343375615,57.55289458904501,108.08370026065047,57.18079600837994,Aphids,36.79
Potato,29.57788921496128,69.87971989813971,68.5538005871675,59.19888239799141,Late Blight,36.37
Cotton,33.411488055187014,61.49773029455431,53.27617600627082,11.556704144225568,Pink Bollworm,46.07
Soybean,25.527895155856417,93.21791249198185,118.30247667288928,58.40967139573608,Aphids,27.42
Grapes,33.02934751933416,88.82984263958708,192.730461161013,52.239161405844385,Downy Mildew,50.44
Rice,29.39330482447123,56.56224388411938,8.131544872812979,56.04239239078434,Stem Borer,44.67
Soybean,31.948059364642646,74.0761175756275,29.32704724059862,16.25928961012752,Aphids,47.42
Grapes,26.45458842349194,60.02623633501683,122.89863668535922,13.210446853756704,Downy Mildew,43.28
Potato,24.034901066526466,89.87795503185941,77.59048973089344,32.76100745409006,Late Blight,20.46
Potato,21.08670331691838,69.62467782033424,119.98470867928087,40.00102740596519,Late Blight,31.67
Grapes,30.424728291898138,93.00611985946023,194.96274722333746,11.980941267417858,Downy Mildew,39.22
Cotton,21.573952676272622,62.10225079312637,246.66564831678662,17.12477714507566,Pink Bollworm,39.96
Rice,29.27233601477179,85.12324852720519,139.91217087172853,10.488542370959182,Stem Borer,78.16
Soybean,27.76567465077067,54.39332495724167,87.6567328022952,11.660155439568328,Aphids,23.14
Soybean,25.95384914302394,56.63578770215302,141.88521206538954,44.47324845686329,Aphids,52.02
Grapes,23.00225366367215,58.37412911295349,26.141960083600065,41.821512477181834,Downy Mildew,48.26
Cotton,20.47379217238463,96.81061231218449,12.992820912868103,37.06481676505352,Pink Bollworm,48.36
Grapes,33.06453685619128,85.70434660662139,200.43202076744797,26.972509627140305,Downy Mildew,52.59
Soybean,21.201722695770126,94.74083280302638,136.89809403843407,50.864888498124685,Aphids,38.09
Potato,29.653665427947875,76.32013304680567,182.89738043883295,14.081499101529479,Late Blight,22.41
Soybean,23.706548510152196,57.97723400565942,217.94589164805043,20.960699367902215,Aphids,59.03
Potato,25.053436876566604,59.10589578443496,197.42462678561978,42.935388775043805,Late Blight,39.93
Soybean,28.330453264064467,85.96008891361319,57.11368533282468,59.816695802837096,Aphids,58.99
Cotton,29.754885295204055,59.97712254645725,170.05706060782282,13.609920448958793,Pink Bollworm,21.23
Potato,23.865243327668203,73.13114783696582,217.06812635209513,46.3584534883154,Late Blight,49.71
Grapes,26.382400016721128,67.29674962734815,92.75969074615068,59.38247818680289,Downy Mildew,21.6
Potato,33.00547244183673,78.93377042861967,109.65385479739761,46.262883020756824,Late Blight,39.47
Cotton,33.10134857122491,95.03509320056293,105.43023171836386,23.841389861752578,Pink Bollworm,43.69
Cotton,33.685450184250364,60.53310945028333,155.7416458908707,41.57801100462603,Pink Bollworm,49.32
Rice,21.9735152769089,85.79124823410443,227.25813016641024,18.984155443512098,Stem Borer,29.5
Rice,34.570926410624594,59.04884763547449,213.5962733423948,34.61389282240174,Stem Borer,29.89
Potato,33.06124851908767,72.26526275013327,128.70433848242254,27.961668469988286,Late Blight,43.72
Cotton,22.452858088775344,69.55407683258804,242.35308058382188,22.906671635056377,Pink Bollworm,46.27
Grapes,24.877850963370424,88.67365628433004,32.71841517958746,58.491052253927236,Downy Mildew,81.34
Grapes,23.540756950196958,53.67483736650063,42.439476271885184,35.988697427800886,Downy Mildew,33.48
Grapes,32.43325048823914,71.5443761830903,62.17856814690747,40.8572493302015,Downy Mildew,48.27
Rice,22.505628618514248,58.380960814415886,9.167856733385744,46.82010075328203,Stem Borer,46.55
Soybean,27.11946313624721,92.20852244845986,201.4175382375133,39.267718219837604,Aphids,54.73
Rice,23.087618150551524,55.5959809698864,67.4374028792474,12.854342804465743,Stem Borer,41.25
Rice,34.04908538442442,51.967177033425486,30.5274785025067,32.60995141417176,Stem Borer,57.36
Cotton,24.742341574651256,75.36174043441963,10.393214762598024,17.417160048104442,Pink Bollworm,59.47
Cotton,34.47678044654069,50.24699904672048,237.95294635580973,41.95599689077502,Pink Bollworm,54.72
Grapes,26.82109783450789,75.77980142896251,122.21164506423004,43.34321287730522,Downy Mildew,25.59
Rice,20.44960384809017,65.39649707955954,176.17019068416167,20.092672606147417,Stem Borer,46.94
Rice,34.54868069160906,54.69503578947092,168.15052955628158,32.187510965228554,Stem Borer,54.73
Rice,22.657246841710787,84.63129761130823,209.52882241202755,57.230710973701164,Stem Borer,47.33
Soybean,27.45762146012641,80.8923620100607,217.22624611967956,38.53048733194149,Aphids,21.22
Soybean,33.964230432604666,84.47633755157806,169.12834644431163,20.783757619885858,Aphids,46.36
